chain,platform,operation,execution_effect,decode_status,minute_index,minute_utc,record_count,distinct_transactions,coverage
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,committed,decoded,3,2026-09-14T12:03:00+00:00,209,206,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,committed,decoded,4,2026-09-14T12:04:00+00:00,210,201,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,not_committed,decoded,0,2026-09-14T12:00:00+00:00,1,1,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,not_committed,decoded,1,2026-09-14T12:01:00+00:00,3,3,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,not_committed,decoded,2,2026-09-14T12:02:00+00:00,3,3,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,not_committed,decoded,3,2026-09-14T12:03:00+00:00,3,3,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,not_committed,decoded,4,2026-09-14T12:04:00+00:00,1,1,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,unknown,decoded,0,2026-09-14T12:00:00+00:00,18,17,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,unknown,decoded,1,2026-09-14T12:01:00+00:00,19,18,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,unknown,decoded,2,2026-09-14T12:02:00+00:00,23,22,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,unknown,decoded,3,2026-09-14T12:03:00+00:00,28,25,complete
solana,pump.fun.pumpswap,other.CloseUserVolumeAccumulatorEvent,unknown,decoded,4,2026-09-14T12:04:00+00:00,39,30,complete
solana,pump.fun.pumpswap,other.CollectCoinCreatorFeeEvent,committed,decoded,0,2026-09-14T12:00:00+00:00,6,6,complete
solana,pump.fun.pumpswap,other.CollectCoinCreatorFeeEvent,committed,decoded,1,2026-09-14T12:01:00+00:00,5,5,complete
solana,pump.fun.pumpswap,other.CollectCoinCreatorFeeEvent,committed,decoded,2,2026-09-14T12:02:00+00:00,6,6,complete
solana,pump.fun.pumpswap,other.CollectCoinCreatorFeeEvent,committed,decoded,3,2026-09-14T12:03:00+00:00,9,9,complete
solana,pump.fun.pumpswap,other.CollectCoinCreatorFeeEvent,committed,decoded,4,2026-09-14T12:04:00+00:00,11,11,complete
solana,pump.fun.pumpswap,other.ExtendAccountEvent,committed,decoded,0,2026-09-14T12:00:00+00:00,1,1,complete
solana,pump.fun.pumpswap,other.ExtendAccountEvent,committed,decoded,1,2026-09-14T12:01:00+00:00,1,1,complete
solana,pump.fun.pumpswap,other.ExtendAccountEvent,committed,decoded,2,2026-09-14T12:02:00+00:00,2,2,complete
solana,pump.fun.pumpswap,other.ExtendAccountEvent,committed,decoded,3,2026-09-14T12:03:00+00:00,2,2,complete
solana,pump.fun.pumpswap,other.ExtendAccountEvent,committed,decoded,4,2026-09-14T12:04:00+00:00,1,1,complete
solana,pump.fun.pumpswap,other.ExtendAccountEvent,not_committed,decoded,2,2026-09-14T12:02:00+00:00,1,1,complete
solana,pump.fun.pumpswap,other.InitBoostEvent,unknown,decoded,2,2026-09-14T12:02:00+00:00,1,1,complete
solana,pump.fun.pumpswap,other.InitBoostEvent,unknown,decoded,4,2026-09-14T12:04:00+00:00,1,1,complete
solana,pump.fun.pumpswap,other.InitUserVolumeAccumulatorEvent,committed,decoded,0,2026-09-14T12:00:00+00:00,12,12,complete
solana,pump.fun.pumpswap,other.InitUserVolumeAccumulatorEvent,committed,decoded,1,2026-09-14T12:01:00+00:00,11,11,complete
solana,pump.fun.pumpswap,other.InitUserVolumeAccumulatorEvent,committed,decoded,2,2026-09-14T12:02:00+00:00,10,10,complete
solana,pump.fun.pumpswap,other.InitUserVolumeAccumulatorEvent,committed,decoded,3,2026-09-14T12:03:00+00:00,21,21,complete
solana,pump.fun.pumpswap,other.InitUserVolumeAccumulatorEvent,committed,decoded,4,2026-09-14T12:04:00+00:00,21,21,complete
solana,pump.fun.pumpswap,other.InitUserVolumeAccumulatorEvent,unknown,decoded,4,2026-09-14T12:04:00+00:00,1,1,complete
solana,pump.fun.pumpswap,pool_initialization,committed,decoded,2,2026-09-14T12:02:00+00:00,2,2,complete
solana,pump.fun.pumpswap,pool_initialization,committed,decoded,3,2026-09-14T12:03:00+00:00,1,1,complete
solana,pump.fun.pumpswap,pool_initialization,unknown,decoded,0,2026-09-14T12:00:00+00:00,1,1,complete
solana,pump.fun.pumpswap,pool_initialization,unknown,decoded,2,2026-09-14T12:02:00+00:00,2,2,complete
solana,pump.fun.pumpswap,pool_initialization,unknown,decoded,4,2026-09-14T12:04:00+00:00,3,3,complete
solana,pump.fun.pumpswap,trade,committed,decoded,0,2026-09-14T12:00:00+00:00,13750,12098,complete
